,bldg_idx,hour,count,pct_of_daily_max,imputed
152,2552,8,4.0,80.0,False
153,2552,9,4.0,80.0,False
154,2552,10,4.0,80.0,False
155,2552,11,5.0,100.0,False
156,2552,12,5.0,100.0,False
157,2552,13,5.0,100.0,False
158,2552,14,5.0,100.0,False
159,2552,15,5.0,100.0,False
160,2552,16,5.0,100.0,False
161,2552,17,5.0,100.0,False
162,2552,18,4.0,80.0,False
163,2552,19,1.0,20.0,False
164,2552,20,1.0,20.0,False
165,2552,21,0.0,0.0,False
166,2552,22,0.0,0.0,False
167,2552,23,0.0,0.0,False
168,2569,0,0.0,0.0,False
169,2569,1,0.0,0.0,False
170,2569,2,0.0,0.0,False
171,2569,3,0.0,0.0,False
172,2569,4,0.0,0.0,False
173,2569,5,0.0,0.0,False
174,2569,6,7.0,24.137931034482758,False
175,2569,7,17.0,58.620689655172406,False
176,2569,8,23.0,79.3103448275862,False
177,2569,9,27.0,93.10344827586206,False
178,2569,10,26.0,89.65517241379311,False
179,2569,11,26.0,89.65517241379311,False
180,2569,12,26.0,89.65517241379311,False
181,2569,13,27.0,93.10344827586206,False
182,2569,14,29.0,100.0,False
183,2569,15,25.0,86.20689655172413,False
184,2569,16,26.0,89.65517241379311,False
185,2569,17,22.0,75.86206896551724,False
186,2569,18,15.0,51.724137931034484,False
187,2569,19,10.0,34.48275862068966,False
188,2569,20,8.0,27.586206896551722,False
189,2569,21,4.0,13.793103448275861,False
190,2569,22,2.0,6.896551724137931,False
191,2569,23,2.0,6.896551724137931,False
192,2571,0,5.0,100.0,False
193,2571,1,5.0,100.0,False
194,2571,2,5.0,100.0,False
195,2571,3,5.0,100.0,False
196,2571,4,5.0,100.0,False
197,2571,5,5.0,100.0,False
198,2571,6,5.0,100.0,False
199,2571,7,5.0,100.0,False
200,2571,8,5.0,100.0,False
201,2571,9,5.0,100.0,False
202,2571,10,5.0,100.0,False
203,2571,11,5.0,100.0,False
204,2571,12,5.0,100.0,False
205,2571,13,5.0,100.0,False
206,2571,14,5.0,100.0,False
207,2571,15,5.0,100.0,False
208,2571,16,5.0,100.0,False
209,2571,17,5.0,100.0,False
210,2571,18,5.0,100.0,False
211,2571,19,5.0,100.0,False
212,2571,20,5.0,100.0,False
213,2571,21,5.0,100.0,False
214,2571,22,5.0,100.0,False
215,2571,23,5.0,100.0,False
216,2587,0,0.0,0.0,False
217,2587,1,0.0,0.0,False
218,2587,2,0.0,0.0,False
219,2587,3,0.0,0.0,False
220,2587,4,0.0,0.0,False
221,2587,5,0.0,0.0,False
222,2587,6,1.0,33.33333333333333,False
223,2587,7,1.0,33.33333333333333,False
224,2587,8,1.0,33.33333333333333,False
225,2587,9,2.0,66.66666666666666,False
226,2587,10,2.0,66.66666666666666,False
227,2587,11,2.0,66.66666666666666,False
228,2587,12,2.0,66.66666666666666,False
229,2587,13,2.0,66.66666666666666,False
230,2587,14,3.0,100.0,False
231,2587,15,3.0,100.0,False
232,2587,16,3.0,100.0,False
233,2587,17,1.0,33.33333333333333,False
234,2587,18,1.0,33.33333333333333,False
235,2587,19,1.0,33.33333333333333,False
236,2587,20,1.0,33.33333333333333,False
237,2587,21,1.0,33.33333333333333,False
238,2587,22,1.0,33.33333333333333,False
239,2587,23,1.0,33.33333333333333,False
240,2592,0,0.0,0.0,False
241,2592,1,0.0,0.0,False
242,2592,2,0.0,0.0,False
243,2592,3,0.0,0.0,False
244,2592,4,0.0,0.0,False
245,2592,5,0.0,0.0,False
246,2592,6,2.0,15.384615384615385,False
247,2592,7,5.0,38.46153846153847,False
248,2592,8,10.0,76.92307692307693,False
249,2592,9,12.0,92.3076923076923,False
250,2592,10,13.0,100.0,False
251,2592,11,13.0,100.0,False
252,2592,12,13.0,100.0,False
253,2592,13,12.0,92.3076923076923,False
254,2592,14,11.0,84.61538461538461,False
255,2592,15,11.0,84.61538461538461,False
256,2592,16,11.0,84.61538461538461,False
257,2592,17,10.0,76.92307692307693,False
258,2592,18,6.0,46.15384615384615,False
259,2592,19,3.0,23.076923076923077,False
260,2592,20,1.0,7.6923076923076925,False
261,2592,21,0.0,0.0,False
262,2592,22,0.0,0.0,False
263,2592,23,0.0,0.0,False
264,2594,0,2.0,50.0,False
265,2594,1,2.0,50.0,False
266,2594,2,2.0,50.0,False
267,2594,3,2.0,50.0,False
268,2594,4,2.0,50.0,False
269,2594,5,2.0,50.0,False
270,2594,6,1.0,25.0,False
271,2594,7,1.0,25.0,False
272,2594,8,0.0,0.0,False
273,2594,9,0.0,0.0,False
274,2594,10,0.0,0.0,False
275,2594,11,0.0,0.0,False
276,2594,12,1.0,25.0,False
277,2594,13,2.0,50.0,False
278,2594,14,2.0,50.0,False
279,2594,15,1.0,25.0,False
280,2594,16,1.0,25.0,False
281,2594,17,1.0,25.0,False
282,2594,18,3.0,75.0,False
283,2594,19,4.0,100.0,False
284,2594,20,4.0,100.0,False
285,2594,21,2.0,50.0,False
286,2594,22,2.0,50.0,False
287,2594,23,2.0,50.0,False
288,2613,0,10.0,100.0,False
289,2613,1,10.0,100.0,False
290,2613,2,10.0,100.0,False
291,2613,3,10.0,100.0,False
292,2613,4,10.0,100.0,False
293,2613,5,10.0,100.0,False
294,2613,6,10.0,100.0,False
295,2613,7,9.0,90.0,False
296,2613,8,7.0,70.0,False
297,2613,9,5.0,50.0,False
298,2613,10,4.0,40.0,False
299,2613,11,4.0,40.0,False
300,2613,12,5.0,50.0,False
301,2613,13,5.0,50.0,False
302,2613,14,5.0,50.0,False
303,2613,15,5.0,50.0,False
304,2613,16,5.0,50.0,False
305,2613,17,6.0,60.0,False
306,2613,18,9.0,90.0,False
307,2613,19,9.0,90.0,False
308,2613,20,9.0,90.0,False
309,2613,21,9.0,90.0,False
310,2613,22,9.0,90.0,False
311,2613,23,9.0,90.0,False
312,2616,0,0.0,0.0,False
313,2616,1,0.0,0.0,False
314,2616,2,0.0,0.0,False
315,2616,3,0.0,0.0,False
316,2616,4,0.0,0.0,False
317,2616,5,0.0,0.0,False
318,2616,6,0.0,0.0,False
319,2616,7,0.0,0.0,False
320,2616,8,0.0,0.0,False
321,2616,9,0.0,0.0,False
322,2616,10,0.0,0.0,False
323,2616,11,0.0,0.0,False
324,2616,12,0.0,0.0,False
325,2616,13,0.0,0.0,False
326,2616,14,0.0,0.0,False
327,2616,15,0.0,0.0,False
328,2616,16,0.0,0.0,False
329,2616,17,0.0,0.0,False
330,2616,18,0.0,0.0,False
331,2616,19,0.0,0.0,False
332,2616,20,0.0,0.0,False
333,2616,21,0.0,0.0,False
334,2616,22,0.0,0.0,False
335,2616,23,0.0,0.0,False
336,2624,0,0.0,0.0,False
337,2624,1,0.0,0.0,False
338,2624,2,0.0,0.0,False
339,2624,3,0.0,0.0,False
340,2624,4,0.0,0.0,False
341,2624,5,1.0,5.0,False
342,2624,6,2.0,10.0,False
343,2624,7,14.0,70.0,False
344,2624,8,18.0,90.0,False
345,2624,9,20.0,100.0,False
346,2624,10,18.0,90.0,False
347,2624,11,19.0,95.0,False
348,2624,12,19.0,95.0,False
349,2624,13,18.0,90.0,False
350,2624,14,16.0,80.0,False
351,2624,15,16.0,80.0,False
352,2624,16,14.0,70.0,False
353,2624,17,13.0,65.0,False
354,2624,18,8.0,40.0,False
355,2624,19,4.0,20.0,False
356,2624,20,4.0,20.0,False
357,2624,21,1.0,5.0,False
358,2624,22,1.0,5.0,False
359,2624,23,1.0,5.0,False
360,2630,0,0.0,0.0,False
361,2630,1,0.0,0.0,False
362,2630,2,0.0,0.0,False
363,2630,3,0.0,0.0,False
364,2630,4,0.0,0.0,False
365,2630,5,0.0,0.0,False
366,2630,6,0.0,0.0,False
367,2630,7,1.0,25.0,False
368,2630,8,3.0,75.0,False
369,2630,9,3.0,75.0,False
370,2630,10,4.0,100.0,False
371,2630,11,4.0,100.0,False
372,2630,12,3.0,75.0,False
373,2630,13,2.0,50.0,False
374,2630,14,3.0,75.0,False
375,2630,15,2.0,50.0,False
376,2630,16,2.0,50.0,False
377,2630,17,2.0,50.0,False
378,2630,18,1.0,25.0,False
379,2630,19,3.0,75.0,False
380,2630,20,1.0,25.0,False
381,2630,21,0.0,0.0,False
382,2630,22,0.0,0.0,False
383,2630,23,0.0,0.0,False
384,2668,0,0.0,0.0,False
385,2668,1,0.0,0.0,False
386,2668,2,0.0,0.0,False
387,2668,3,0.0,0.0,False
388,2668,4,0.0,0.0,False
389,2668,5,1.0,14.285714285714285,False
390,2668,6,1.0,14.285714285714285,False
391,2668,7,2.0,28.57142857142857,False
392,2668,8,4.0,57.14285714285714,False
393,2668,9,4.0,57.14285714285714,False
394,2668,10,5.0,71.42857142857143,False
395,2668,11,7.0,100.0,False
396,2668,12,5.0,71.42857142857143,False
397,2668,13,6.0,85.71428571428571,False
398,2668,14,6.0,85.71428571428571,False
399,2668,15,5.0,71.42857142857143,False
400,2668,16,5.0,71.42857142857143,False
401,2668,17,5.0,71.42857142857143,False
402,2668,18,4.0,57.14285714285714,False
403,2668,19,4.0,57.14285714285714,False
404,2668,20,3.0,42.857142857142854,False
405,2668,21,2.0,28.57142857142857,False
406,2668,22,1.0,14.285714285714285,False
407,2668,23,1.0,14.285714285714285,False
408,3037,0,0.0,0.0,False
409,3037,1,0.0,0.0,False
410,3037,2,0.0,0.0,False
411,3037,3,0.0,0.0,False
412,3037,4,0.0,0.0,False
413,3037,5,1.0,2.941176470588235,False
414,3037,6,5.0,14.705882352941178,False
415,3037,7,11.0,32.35294117647059,False
416,3037,8,20.0,58.82352941176471,False
417,3037,9,27.0,79.41176470588235,False
418,3037,10,27.0,79.41176470588235,False
419,3037,11,29.0,85.29411764705883,False
420,3037,12,31.0,91.17647058823529,False
421,3037,13,31.0,91.17647058823529,False
422,3037,14,32.0,94.11764705882352,False
423,3037,15,34.0,100.0,False
424,3037,16,30.0,88.23529411764706,False
425,3037,17,26.0,76.47058823529412,False
426,3037,18,20.0,58.82352941176471,False
427,3037,19,13.0,38.23529411764706,False
428,3037,20,10.0,29.411764705882355,False
429,3037,21,5.0,14.705882352941178,False
430,3037,22,4.0,11.76470588235294,False
431,3037,23,1.0,2.941176470588235,False
432,3042,0,0.0,0.0,False
433,3042,1,0.0,0.0,False
434,3042,2,0.0,0.0,False
435,3042,3,0.0,0.0,False
436,3042,4,0.0,0.0,False
437,3042,5,0.0,0.0,False
438,3042,6,1.0,16.666666666666664,False
439,3042,7,3.0,50.0,False
440,3042,8,5.0,83.33333333333334,False
441,3042,9,5.0,83.33333333333334,False
442,3042,10,6.0,100.0,False
443,3042,11,6.0,100.0,False
444,3042,12,6.0,100.0,False
445,3042,13,6.0,100.0,False
446,3042,14,6.0,100.0,False
447,3042,15,5.0,83.33333333333334,False
448,3042,16,5.0,83.33333333333334,False
449,3042,17,3.0,50.0,False
450,3042,18,3.0,50.0,False
451,3042,19,3.0,50.0,False
452,3042,20,2.0,33.33333333333333,False
453,3042,21,1.0,16.666666666666664,False
454,3042,22,0.0,0.0,False
455,3042,23,0.0,0.0,False
456,3044,0,0.0,0.0,False
457,3044,1,0.0,0.0,False
458,3044,2,0.0,0.0,False
459,3044,3,0.0,0.0,False
460,3044,4,0.0,0.0,False
461,3044,5,0.0,0.0,False
462,3044,6,1.0,50.0,False
463,3044,7,1.0,50.0,False
464,3044,8,1.0,50.0,False
465,3044,9,2.0,100.0,False
466,3044,10,2.0,100.0,False
467,3044,11,2.0,100.0,False
468,3044,12,2.0,100.0,False
469,3044,13,2.0,100.0,False
470,3044,14,2.0,100.0,False
471,3044,15,1.0,50.0,False
472,3044,16,1.0,50.0,False
473,3044,17,1.0,50.0,False
474,3044,18,1.0,50.0,False
475,3044,19,0.0,0.0,False
476,3044,20,1.0,50.0,False
477,3044,21,1.0,50.0,False
478,3044,22,1.0,50.0,False
479,3044,23,1.0,50.0,False
480,3055,0,0.0,0.0,False
481,3055,1,0.0,0.0,False
482,3055,2,0.0,0.0,False
483,3055,3,0.0,0.0,False
484,3055,4,0.0,0.0,False
485,3055,5,0.0,0.0,False
486,3055,6,0.0,0.0,False
487,3055,7,3.0,23.076923076923077,False
488,3055,8,9.0,69.23076923076923,False
489,3055,9,13.0,100.0,False
490,3055,10,13.0,100.0,False
491,3055,11,11.0,84.61538461538461,False
492,3055,12,11.0,84.61538461538461,False
493,3055,13,9.0,69.23076923076923,False
494,3055,14,9.0,69.23076923076923,False
495,3055,15,10.0,76.92307692307693,False
496,3055,16,7.0,53.84615384615385,False
497,3055,17,7.0,53.84615384615385,False
498,3055,18,5.0,38.46153846153847,False
499,3055,19,4.0,30.76923076923077,False
500,3055,20,2.0,15.384615384615385,False
501,3055,21,1.0,7.6923076923076925,False
502,3055,22,1.0,7.6923076923076925,False
503,3055,23,1.0,7.6923076923076925,False
504,3064,0,0.0,0.0,False
505,3064,1,0.0,0.0,False
506,3064,2,0.0,0.0,False
507,3064,3,0.0,0.0,False
508,3064,4,0.0,0.0,False
509,3064,5,1.0,4.0,False
510,3064,6,3.0,12.0,False
511,3064,7,12.0,48.0,False
512,3064,8,20.0,80.0,False
513,3064,9,22.0,88.0,False
514,3064,10,23.0,92.0,False
515,3064,11,24.0,96.0,False
516,3064,12,25.0,100.0,False
517,3064,13,24.0,96.0,False
518,3064,14,23.0,92.0,False
519,3064,15,22.0,88.0,False
520,3064,16,20.0,80.0,False
521,3064,17,16.0,64.0,False
522,3064,18,13.0,52.0,False
523,3064,19,9.0,36.0,False
524,3064,20,4.0,16.0,False
525,3064,21,1.0,4.0,False
526,3064,22,1.0,4.0,False
527,3064,23,1.0,4.0,False
528,3065,0,0.0,0.0,False
529,3065,1,0.0,0.0,False
530,3065,2,0.0,0.0,False
531,3065,3,0.0,0.0,False
532,3065,4,0.0,0.0,False
533,3065,5,0.0,0.0,False
534,3065,6,0.0,0.0,False
535,3065,7,1.0,100.0,False
536,3065,8,1.0,100.0,False
537,3065,9,1.0,100.0,False
538,3065,10,1.0,100.0,False
539,3065,11,1.0,100.0,False
540,3065,12,1.0,100.0,False
541,3065,13,1.0,100.0,False
542,3065,14,1.0,100.0,False
543,3065,15,1.0,100.0,False
544,3065,16,1.0,100.0,False
545,3065,17,1.0,100.0,False
546,3065,18,0.0,0.0,False
547,3065,19,0.0,0.0,False
548,3065,20,0.0,0.0,False
549,3065,21,0.0,0.0,False
550,3065,22,0.0,0.0,False
551,3065,23,0.0,0.0,False
552,3074,0,0.0,0.0,False
553,3074,1,0.0,0.0,False
554,3074,2,0.0,0.0,False
555,3074,3,0.0,0.0,False
556,3074,4,0.0,0.0,False
557,3074,5,0.0,0.0,False
558,3074,6,0.0,0.0,False
559,3074,7,0.0,0.0,False
560,3074,8,1.0,33.33333333333333,False
561,3074,9,2.0,66.66666666666666,False
562,3074,10,1.0,33.33333333333333,False
563,3074,11,1.0,33.33333333333333,False
564,3074,12,1.0,33.33333333333333,False
565,3074,13,2.0,66.66666666666666,False
566,3074,14,3.0,100.0,False
567,3074,15,3.0,100.0,False
568,3074,16,3.0,100.0,False
569,3074,17,3.0,100.0,False
570,3074,18,1.0,33.33333333333333,False
571,3074,19,1.0,33.33333333333333,False
572,3074,20,1.0,33.33333333333333,False
573,3074,21,0.0,0.0,False
574,3074,22,0.0,0.0,False
575,3074,23,0.0,0.0,False
576,3078,0,0.0,0.0,False
577,3078,1,0.0,0.0,False
578,3078,2,0.0,0.0,False
579,3078,3,0.0,0.0,False
580,3078,4,0.0,0.0,False
581,3078,5,1.0,20.0,False
582,3078,6,3.0,60.0,False
583,3078,7,4.0,80.0,False
584,3078,8,5.0,100.0,False
585,3078,9,5.0,100.0,False
586,3078,10,5.0,100.0,False
587,3078,11,5.0,100.0,False
588,3078,12,4.0,80.0,False
589,3078,13,4.0,80.0,False
590,3078,14,4.0,80.0,False
591,3078,15,4.0,80.0,False
592,3078,16,4.0,80.0,False
593,3078,17,5.0,100.0,False
594,3078,18,5.0,100.0,False
595,3078,19,3.0,60.0,False
596,3078,20,1.0,20.0,False
597,3078,21,1.0,20.0,False
598,3078,22,0.0,0.0,False
599,3078,23,0.0,0.0,False
600,3085,0,0.0,0.0,False
601,3085,1,0.0,0.0,False
602,3085,2,0.0,0.0,False
603,3085,3,0.0,0.0,False
604,3085,4,0.0,0.0,False
605,3085,5,0.0,0.0,False
606,3085,6,0.0,0.0,False
607,3085,7,2.0,25.0,False
608,3085,8,7.0,87.5,False
609,3085,9,7.0,87.5,False
610,3085,10,7.0,87.5,False
611,3085,11,7.0,87.5,False
612,3085,12,7.0,87.5,False
613,3085,13,8.0,100.0,False
614,3085,14,8.0,100.0,False
615,3085,15,8.0,100.0,False
616,3085,16,8.0,100.0,False
617,3085,17,7.0,87.5,False
618,3085,18,5.0,62.5,False
619,3085,19,1.0,12.5,False
620,3085,20,0.0,0.0,False
621,3085,21,0.0,0.0,False
622,3085,22,0.0,0.0,False
623,3085,23,0.0,0.0,False
624,3095,0,0.0,0.0,False
625,3095,1,0.0,0.0,False
626,3095,2,0.0,0.0,False
627,3095,3,0.0,0.0,False
628,3095,4,0.0,0.0,False
629,3095,5,1.0,20.0,False
630,3095,6,1.0,20.0,False
631,3095,7,3.0,60.0,False
632,3095,8,4.0,80.0,False
633,3095,9,5.0,100.0,False
634,3095,10,5.0,100.0,False
635,3095,11,5.0,100.0,False
636,3095,12,5.0,100.0,False
637,3095,13,4.0,80.0,False
638,3095,14,5.0,100.0,False
639,3095,15,4.0,80.0,False
640,3095,16,4.0,80.0,False
641,3095,17,3.0,60.0,False
642,3095,18,3.0,60.0,False
643,3095,19,2.0,40.0,False
644,3095,20,2.0,40.0,False
645,3095,21,1.0,20.0,False
646,3095,22,1.0,20.0,False
647,3095,23,1.0,20.0,False
648,3107,0,0.0,0.0,False
649,3107,1,0.0,0.0,False
650,3107,2,0.0,0.0,False
651,3107,3,0.0,0.0,False
652,3107,4,0.0,0.0,False
653,3107,5,0.0,0.0,False
654,3107,6,0.0,0.0,False
655,3107,7,1.0,33.33333333333333,False
656,3107,8,1.0,33.33333333333333,False
657,3107,9,1.0,33.33333333333333,False
658,3107,10,0.0,0.0,False
659,3107,11,0.0,0.0,False
660,3107,12,1.0,33.33333333333333,False
661,3107,13,3.0,100.0,False
662,3107,14,1.0,33.33333333333333,False
663,3107,15,2.0,66.66666666666666,False
664,3107,16,3.0,100.0,False
665,3107,17,2.0,66.66666666666666,False
666,3107,18,2.0,66.66666666666666,False
667,3107,19,1.0,33.33333333333333,False
668,3107,20,1.0,33.33333333333333,False
669,3107,21,1.0,33.33333333333333,False
670,3107,22,0.0,0.0,False
671,3107,23,0.0,0.0,False
672,3126,0,0.0,0.0,False
673,3126,1,0.0,0.0,False
674,3126,2,0.0,0.0,False
675,3126,3,0.0,0.0,False
676,3126,4,0.0,0.0,False
677,3126,5,1.0,16.666666666666664,False
678,3126,6,2.0,33.33333333333333,False
679,3126,7,2.0,33.33333333333333,False
680,3126,8,3.0,50.0,False
681,3126,9,5.0,83.33333333333334,False
682,3126,10,6.0,100.0,False
683,3126,11,6.0,100.0,False
684,3126,12,4.0,66.66666666666666,False
685,3126,13,4.0,66.66666666666666,False
686,3126,14,6.0,100.0,False
687,3126,15,5.0,83.33333333333334,False
688,3126,16,5.0,83.33333333333334,False
689,3126,17,5.0,83.33333333333334,False
690,3126,18,4.0,66.66666666666666,False
691,3126,19,3.0,50.0,False
692,3126,20,2.0,33.33333333333333,False
693,3126,21,2.0,33.33333333333333,False
694,3126,22,1.0,16.666666666666664,False
695,3126,23,0.0,0.0,False
696,3127,0,0.0,0.0,False
697,3127,1,0.0,0.0,False
698,3127,2,0.0,0.0,False
699,3127,3,0.0,0.0,False
700,3127,4,0.0,0.0,False
701,3127,5,0.0,0.0,False
702,3127,6,0.0,0.0,False
703,3127,7,3.0,50.0,False
704,3127,8,5.0,83.33333333333334,False
705,3127,9,5.0,83.33333333333334,False
706,3127,10,5.0,83.33333333333334,False
707,3127,11,5.0,83.33333333333334,False
708,3127,12,5.0,83.33333333333334,False
709,3127,13,5.0,83.33333333333334,False
710,3127,14,5.0,83.33333333333334,False
711,3127,15,5.0,83.33333333333334,False
712,3127,16,6.0,100.0,False
713,3127,17,3.0,50.0,False
714,3127,18,5.0,83.33333333333334,False
715,3127,19,4.0,66.66666666666666,False
716,3127,20,4.0,66.66666666666666,False
717,3127,21,3.0,50.0,False
718,3127,22,3.0,50.0,False
719,3127,23,2.0,33.33333333333333,False
720,3130,0,0.0,0.0,False
721,3130,1,0.0,0.0,False
722,3130,2,0.0,0.0,False
723,3130,3,0.0,0.0,False
724,3130,4,0.0,0.0,False
725,3130,5,0.0,0.0,False
726,3130,6,2.0,28.57142857142857,False
727,3130,7,4.0,57.14285714285714,False
728,3130,8,5.0,71.42857142857143,False
729,3130,9,6.0,85.71428571428571,False
730,3130,10,7.0,100.0,False
731,3130,11,7.0,100.0,False
732,3130,12,7.0,100.0,False
733,3130,13,7.0,100.0,False
734,3130,14,7.0,100.0,False
735,3130,15,6.0,85.71428571428571,False
736,3130,16,5.0,71.42857142857143,False
737,3130,17,5.0,71.42857142857143,False
738,3130,18,4.0,57.14285714285714,False
739,3130,19,4.0,57.14285714285714,False
740,3130,20,2.0,28.57142857142857,False
741,3130,21,1.0,14.285714285714285,False
742,3130,22,1.0,14.285714285714285,False
743,3130,23,1.0,14.285714285714285,False
744,3133,0,0.0,0.0,False
745,3133,1,0.0,0.0,False
746,3133,2,0.0,0.0,False
747,3133,3,0.0,0.0,False
748,3133,4,0.0,0.0,False
749,3133,5,0.0,0.0,False
750,3133,6,1.0,25.0,False
751,3133,7,4.0,100.0,False
752,3133,8,4.0,100.0,False
753,3133,9,4.0,100.0,False
754,3133,10,4.0,100.0,False
755,3133,11,4.0,100.0,False
756,3133,12,4.0,100.0,False
757,3133,13,4.0,100.0,False
758,3133,14,4.0,100.0,False
759,3133,15,4.0,100.0,False
760,3133,16,3.0,75.0,False
761,3133,17,4.0,100.0,False
762,3133,18,2.0,50.0,False
763,3133,19,1.0,25.0,False
764,3133,20,1.0,25.0,False
765,3133,21,0.0,0.0,False
766,3133,22,0.0,0.0,False
767,3133,23,0.0,0.0,False
768,3134,0,0.0,0.0,False
769,3134,1,0.0,0.0,False
770,3134,2,0.0,0.0,False
