hour_of_year,day,hour_of_day,hour_label,energy_consumed_wh,energy_consumed_kwh,average_power_kw,active_vehicles,active_vehicle_records
70,3,22,year hour 0070,67821.74,67.82174,67.82174,604.0,52967.0
71,3,23,year hour 0071,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
72,4,0,year hour 0072,84257.97,84.25797,84.25797,627.0,56190.0
73,4,1,year hour 0073,67763.65,67.76365,67.76365,602.0,52182.0
74,4,2,year hour 0074,67864.3,67.8643,67.8643,601.0,52088.0
75,4,3,year hour 0075,67591.19,67.59119,67.59119,601.0,52786.0
76,4,4,year hour 0076,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
77,4,5,year hour 0077,68040.49,68.04049,68.04049,601.0,53095.0
78,4,6,year hour 0078,71032.18,71.03218,71.03218,607.0,53189.0
79,4,7,year hour 0079,68068.45,68.06845,68.06845,595.0,52165.0
80,4,8,year hour 0080,69069.68000000001,69.06968,69.06968,604.0,53833.0
81,4,9,year hour 0081,67953.64,67.95364,67.95364,604.0,52529.0
82,4,10,year hour 0082,67944.94,67.94494,67.94494,602.0,52535.0
83,4,11,year hour 0083,67802.9,67.8029,67.8029,588.0,52375.0
84,4,12,year hour 0084,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
85,4,13,year hour 0085,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
86,4,14,year hour 0086,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
87,4,15,year hour 0087,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
88,4,16,year hour 0088,69555.96,69.55596,69.55596,608.0,53372.0
89,4,17,year hour 0089,68005.42,68.00542,68.00542,598.0,52153.0
90,4,18,year hour 0090,70931.0,70.931,70.931,607.0,53552.0
91,4,19,year hour 0091,67678.63,67.67863,67.67863,599.0,52674.0
92,4,20,year hour 0092,68076.09,68.07609,68.07609,599.0,52651.0
93,4,21,year hour 0093,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
94,4,22,year hour 0094,67821.74,67.82174,67.82174,604.0,52967.0
95,4,23,year hour 0095,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
96,5,0,year hour 0096,84257.97,84.25797,84.25797,627.0,56190.0
97,5,1,year hour 0097,67763.65,67.76365,67.76365,602.0,52182.0
98,5,2,year hour 0098,67864.3,67.8643,67.8643,601.0,52088.0
99,5,3,year hour 0099,67591.19,67.59119,67.59119,601.0,52786.0
100,5,4,year hour 0100,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
101,5,5,year hour 0101,68040.49,68.04049,68.04049,601.0,53095.0
102,5,6,year hour 0102,71032.18,71.03218,71.03218,607.0,53189.0
103,5,7,year hour 0103,68068.45,68.06845,68.06845,595.0,52165.0
104,5,8,year hour 0104,69069.68000000001,69.06968,69.06968,604.0,53833.0
105,5,9,year hour 0105,67953.64,67.95364,67.95364,604.0,52529.0
106,5,10,year hour 0106,67944.94,67.94494,67.94494,602.0,52535.0
107,5,11,year hour 0107,67802.9,67.8029,67.8029,588.0,52375.0
108,5,12,year hour 0108,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
109,5,13,year hour 0109,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
110,5,14,year hour 0110,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
111,5,15,year hour 0111,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
112,5,16,year hour 0112,69555.96,69.55596,69.55596,608.0,53372.0
113,5,17,year hour 0113,68005.42,68.00542,68.00542,598.0,52153.0
114,5,18,year hour 0114,70931.0,70.931,70.931,607.0,53552.0
115,5,19,year hour 0115,67678.63,67.67863,67.67863,599.0,52674.0
116,5,20,year hour 0116,68076.09,68.07609,68.07609,599.0,52651.0
117,5,21,year hour 0117,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
118,5,22,year hour 0118,67821.74,67.82174,67.82174,604.0,52967.0
119,5,23,year hour 0119,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
120,6,0,year hour 0120,84257.97,84.25797,84.25797,627.0,56190.0
121,6,1,year hour 0121,67763.65,67.76365,67.76365,602.0,52182.0
122,6,2,year hour 0122,67864.3,67.8643,67.8643,601.0,52088.0
123,6,3,year hour 0123,67591.19,67.59119,67.59119,601.0,52786.0
124,6,4,year hour 0124,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
125,6,5,year hour 0125,68040.49,68.04049,68.04049,601.0,53095.0
126,6,6,year hour 0126,71032.18,71.03218,71.03218,607.0,53189.0
127,6,7,year hour 0127,68068.45,68.06845,68.06845,595.0,52165.0
128,6,8,year hour 0128,69069.68000000001,69.06968,69.06968,604.0,53833.0
129,6,9,year hour 0129,67953.64,67.95364,67.95364,604.0,52529.0
130,6,10,year hour 0130,67944.94,67.94494,67.94494,602.0,52535.0
131,6,11,year hour 0131,67802.9,67.8029,67.8029,588.0,52375.0
132,6,12,year hour 0132,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
133,6,13,year hour 0133,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
134,6,14,year hour 0134,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
135,6,15,year hour 0135,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
136,6,16,year hour 0136,69555.96,69.55596,69.55596,608.0,53372.0
137,6,17,year hour 0137,68005.42,68.00542,68.00542,598.0,52153.0
138,6,18,year hour 0138,70931.0,70.931,70.931,607.0,53552.0
139,6,19,year hour 0139,67678.63,67.67863,67.67863,599.0,52674.0
140,6,20,year hour 0140,68076.09,68.07609,68.07609,599.0,52651.0
141,6,21,year hour 0141,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
142,6,22,year hour 0142,67821.74,67.82174,67.82174,604.0,52967.0
143,6,23,year hour 0143,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
144,7,0,year hour 0144,84257.97,84.25797,84.25797,627.0,56190.0
145,7,1,year hour 0145,67763.65,67.76365,67.76365,602.0,52182.0
146,7,2,year hour 0146,67864.3,67.8643,67.8643,601.0,52088.0
147,7,3,year hour 0147,67591.19,67.59119,67.59119,601.0,52786.0
148,7,4,year hour 0148,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
149,7,5,year hour 0149,68040.49,68.04049,68.04049,601.0,53095.0
150,7,6,year hour 0150,71032.18,71.03218,71.03218,607.0,53189.0
151,7,7,year hour 0151,68068.45,68.06845,68.06845,595.0,52165.0
152,7,8,year hour 0152,69069.68000000001,69.06968,69.06968,604.0,53833.0
153,7,9,year hour 0153,67953.64,67.95364,67.95364,604.0,52529.0
154,7,10,year hour 0154,67944.94,67.94494,67.94494,602.0,52535.0
155,7,11,year hour 0155,67802.9,67.8029,67.8029,588.0,52375.0
156,7,12,year hour 0156,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
157,7,13,year hour 0157,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
158,7,14,year hour 0158,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
159,7,15,year hour 0159,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
160,7,16,year hour 0160,69555.96,69.55596,69.55596,608.0,53372.0
161,7,17,year hour 0161,68005.42,68.00542,68.00542,598.0,52153.0
162,7,18,year hour 0162,70931.0,70.931,70.931,607.0,53552.0
163,7,19,year hour 0163,67678.63,67.67863,67.67863,599.0,52674.0
164,7,20,year hour 0164,68076.09,68.07609,68.07609,599.0,52651.0
165,7,21,year hour 0165,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
166,7,22,year hour 0166,67821.74,67.82174,67.82174,604.0,52967.0
167,7,23,year hour 0167,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
168,8,0,year hour 0168,84257.97,84.25797,84.25797,627.0,56190.0
169,8,1,year hour 0169,67763.65,67.76365,67.76365,602.0,52182.0
170,8,2,year hour 0170,67864.3,67.8643,67.8643,601.0,52088.0
171,8,3,year hour 0171,67591.19,67.59119,67.59119,601.0,52786.0
172,8,4,year hour 0172,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
173,8,5,year hour 0173,68040.49,68.04049,68.04049,601.0,53095.0
174,8,6,year hour 0174,71032.18,71.03218,71.03218,607.0,53189.0
175,8,7,year hour 0175,68068.45,68.06845,68.06845,595.0,52165.0
176,8,8,year hour 0176,69069.68000000001,69.06968,69.06968,604.0,53833.0
177,8,9,year hour 0177,67953.64,67.95364,67.95364,604.0,52529.0
178,8,10,year hour 0178,67944.94,67.94494,67.94494,602.0,52535.0
179,8,11,year hour 0179,67802.9,67.8029,67.8029,588.0,52375.0
180,8,12,year hour 0180,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
181,8,13,year hour 0181,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
182,8,14,year hour 0182,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
183,8,15,year hour 0183,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
184,8,16,year hour 0184,69555.96,69.55596,69.55596,608.0,53372.0
185,8,17,year hour 0185,68005.42,68.00542,68.00542,598.0,52153.0
186,8,18,year hour 0186,70931.0,70.931,70.931,607.0,53552.0
187,8,19,year hour 0187,67678.63,67.67863,67.67863,599.0,52674.0
188,8,20,year hour 0188,68076.09,68.07609,68.07609,599.0,52651.0
189,8,21,year hour 0189,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
190,8,22,year hour 0190,67821.74,67.82174,67.82174,604.0,52967.0
191,8,23,year hour 0191,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
192,9,0,year hour 0192,84257.97,84.25797,84.25797,627.0,56190.0
193,9,1,year hour 0193,67763.65,67.76365,67.76365,602.0,52182.0
194,9,2,year hour 0194,67864.3,67.8643,67.8643,601.0,52088.0
195,9,3,year hour 0195,67591.19,67.59119,67.59119,601.0,52786.0
196,9,4,year hour 0196,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
197,9,5,year hour 0197,68040.49,68.04049,68.04049,601.0,53095.0
198,9,6,year hour 0198,71032.18,71.03218,71.03218,607.0,53189.0
199,9,7,year hour 0199,68068.45,68.06845,68.06845,595.0,52165.0
200,9,8,year hour 0200,69069.68000000001,69.06968,69.06968,604.0,53833.0
201,9,9,year hour 0201,67953.64,67.95364,67.95364,604.0,52529.0
202,9,10,year hour 0202,67944.94,67.94494,67.94494,602.0,52535.0
203,9,11,year hour 0203,67802.9,67.8029,67.8029,588.0,52375.0
204,9,12,year hour 0204,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
205,9,13,year hour 0205,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
206,9,14,year hour 0206,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
207,9,15,year hour 0207,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
208,9,16,year hour 0208,69555.96,69.55596,69.55596,608.0,53372.0
209,9,17,year hour 0209,68005.42,68.00542,68.00542,598.0,52153.0
210,9,18,year hour 0210,70931.0,70.931,70.931,607.0,53552.0
211,9,19,year hour 0211,67678.63,67.67863,67.67863,599.0,52674.0
212,9,20,year hour 0212,68076.09,68.07609,68.07609,599.0,52651.0
213,9,21,year hour 0213,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
214,9,22,year hour 0214,67821.74,67.82174,67.82174,604.0,52967.0
215,9,23,year hour 0215,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
